Extension,Popularity
.idpp,High
.idr,Low
.idroo,Low
.idrz,Low
.ids,Low
.idsp,Low
.idv,Low
.idvi,Low
.idw,Low
.idw;*.dwg,Low
.idx,Very High
.ie,Low
.ies,Low
.ietabmulti,Low
.iev,Low
.ie_,Low
.if,Low
.if90,Low
.ifc,Low
.iff,Very High
.ifl,Low
.iflv,Low
.ifo,Very High
.ifol,Low
.ifos,Low
.ifs,Low
.ige,Low
.iges,Low
.iglang,Low
.igp,Very High
.igr,Low
.igs,Low
.igtheme,Low
.ihe,Low
.ihtm,Low
.ihtml,Low
.iie,Low
.iif,Low
.iii,Very High
.iip,Low
.iiq,High
.iit,Low
.iklax,Low
.ikm,Low
.il,Low
.ilb,Low
.ilbm,Medium
.ilc,Low
.ild,Low
.ilg,Low
.ilk,Very High
.ils,Low
.im1,Medium
.im24,Medium
.im32,Medium
.im8,Medium
.ima,Very High
.image,Medium
.imageportfoliolibrary,Low
.images2pdf,Medium
.imap,Low
.imazing,Low
.imazingapp,Low
.imc,Low
.imd,Low
.ime,Low
.imesx,Very High
.imf,Low
.img,Very High
.imgc,Low
.imgpart,Low
.imh,Low
.imi,Low
.imk,Low
.iml,Low
.imlst,Low
.imm,Low
.imn,Low
.imoviemobile,Low
.imovieteams,Low
.imovietrailer,Low
.imp,Medium
.imq,Low
.ims,Low
.imw,Low
.imx,Low
.imz,Medium
.im_,Low
.in,Low
.inc,Very High
.inca,Very High
.incaballsavedgame,Low
.incadiasavedgame,Low
.incaquestsavedgame,Low
.incd,Very High
.incdsendto,Low
.incl,Low
.incp,Very High
.inct,Very High
.incx,Very High
.ind,Low
.indb,Very High
.indd,Very High
.indk,Very High
.indl,Very High
.indp,Very High
.inds,Very High
.indt,Very High
.inf,Very High
.info,Medium
.infopathxml,Very High
.inf_aq,Low
.ing,Low
.ini,Very High
.ini-dist,Low
.ini-production,Low
.inl,Very High
.inlx,Very High
.inms,Medium
.ino,Low
.inp,Low
.ins,Very High
.inspxe,Low
.inspxeproj,Low
.inspxez,Low
.inst,Low
.install,Medium
.instantrename,Low
.ins_aq,Low
.int,High
.inta,Medium
.interface,Low
.internetconnect,Low
.internetmailsend,Low
.inv,Low
.inx,Very High
.in_,Low
.io,Low
.iom,Low
.ion,Medium
.ip,Medium
.ip2,Low
.ipa,Very High
.ipalias,Low
.ipc,Low
.ipch,Low
.ipd,Low
.ipf,Low
.ipfix,Medium
.ipg,Very High
.iph,Low
.iphoto,Low
.iphotoproject,Low
.ipj,Low
.ipk,Low
.ipl,Low
.ipla,Low
.ipm,Low
.ipn,Low
.ipo,Low
.ipp,Low
.ipproj,Medium
.ipr,Medium
.ips,Low
.ipsw,Very High
.ipt,Low
.iptheme,Medium
.ipynb,Low
.iqm,Low
.iqy,Very High
.ir,Low
.ir2,Low
.ircam,Low
.ircp,Low
.irf,Low
.irg,Low
.iris,Low
.iros,Very High
.irp,Low
.irs,Very High
.is,Low
.isa,Very High
.iscsi,Low
.isd,Low
.isdb,Low
.isdoc,Low
.isdocx,Low
.isds,Low
.ise,Low
.isi,Low
.isl,Low
.ism,Low
.isma,Low
.ismv,High
.iso,Very High
.isofileimage,Low
.isp,Very High
.ispac,Medium
.ispro,Low
.ispy,Low
.isp_aq,Low
.iss,Very High
.iss5,Low
.issue,Low
.issuite,Low
.ist,Low
.isu,Low
.isv,Low
.isx,Low
.isym,Low
.isz,Very High
.is_,Low
.it,Very High
.ita,Medium
.itb,Low
.itc2,Low
.itdb,Very High
.ite,Very High
.itf,Low
.itg,Low
.ithmb,Low
.iti,Low
.itl,Very High
.itlp,Very High
.itls,Very High
.itms,Very High
.itmx,Low
.itp,Low
.itpc,Very High
.itrace,Very High
.its,Very High
.itss,Very High
.itt,Low
.itv,Low
.itz,Very High
.it_,Low
.iv,Low
.iv2i,Low
.ivaud,Low
.ivb,Medium
.ive,Low
.ivf,Very High
.ivm,Low
.ivn,Low
.ivr,Very High
.ivs,Low
.iw4,Medium
.iw44,Very High
.iw5dlc,Low
.iwb,Low
.iwc,Low
.iwcf,Low
.iwd,Low
.iwdgt,Low
.iwp,Low
.iwtpk,Low
.iwtpl,Low
.iwzip,Low
.ix,Low
.ix2,Low
.ixa,Low
.ize,Low
.j,Medium
.j2,Low
.j2b,Low
.j2c,High
.j2e,Low
.j2k,Very High
.j3b,Low
.j64,Low
.j6i,Low
.j8e,Low
.ja,Low
.jacl,Low
.jad,High
.jade,Low
.jag,Low
.jam,Low
.jap,Low
.jar,Very High
.jascproject,Low
.jaskin,Low
.jav,Low
.java,Very High
.jb2,Low
.jbackup,Low
.jbb,Low
.jbc,Low
.jbf,Very High
.jbg,Low
.jbig,Low
.jbig2,Low
.jbk,Low
.jbr,Medium
.jbz,Low
.jc!,Low
.jcd,Medium
.jcp,Low
.jcw,Low
.jcx,Low
.jc_,Low
.jd,Low
.jdc,Medium
.jdf,Very High
.jeopardysavedgame,Low
.jeq,Low
.jewelmatch2savedgame,Low
.jewelmatch3savedgame,Low
.jewelmatchsavedgame,Low
.jewelmatchsnowscapessavedgame,Low
.jewelofatlantissavedgame,Low
.jewelquest2savedgame,Low
.jewelquest3savedgame,Low
.jewelquestheritagesavedgame,Low
.jewelquestsavedgame,Low
.jewelquestsolitaire2savedgame,Low
.jewelsofcleopatrasavedgame,Low
.jewelthiefsavedgame,Low
.jff,Low
.jfi,Low
.jfif,Very High
.jfr,High
.jgp,Low
.jhd,Low
.jhtm,Low
.jhtml,Low
.jiaf,Low
.jias,Low
.jif,Very High
.jil,Low
.jj,Low
.jlp,Low
.jlr,Low
.jls,Very High
.jmap,Low
.jmp,Low
.jmx,Low
.jng,Very High
.jnl,Low
.jnlp,Very High
.jnp,Low
.jnt,Very High
.jnx,Low
.job,Very High
.joboptions,Very High
.jod,Very High
.joe,Low
.johndeeredrivegreensavedgame,Low
.jojosfashionshowsavedgame,Low
.jos,Low
.joz,Low
.jp2,Very High
.jpc,Very High
.jpe,Very High
.jpeg,Very High
.jpeg 2000,Low
.jpegenx,Low
.jpf,High
.jpg,Very High
.jpg-large,Low
.jpg@oscsid=7d4567e9bd50b2f334844513937d0ea4,Low
.jpgenx,Low
.jpgs,Low
.jpg_56x42,Low
.jpg_large,Low
.jpk,Medium
.jpm,Very High
.jpn,Low
.jpp,Low
.jps,Very High
.jpt,Low
.jpx,High
.jp_,Low
.jree,Low
.jrf,Low
.jrmime,Low
.jrs,Low
.js,Very High
.jscript,Low
.jscsrc,Low
.jse,Very High
.jsee,Low
.jse_aq,Low
.jsf,High
.jsfl,High
.jshintrc,Low
.jshtm,Low
.jsk,Low
.jsl,Medium
.jsm,Low
.jso,Low
.json,Very High
.jsonld,Low
.jsonlz4,Low
.jsp,Very High
.jsproj,High
.jss,Low
.jsv,Low
.jsx,Very High
.jsxbin,Very High
.jsxinc,Very High
.js_,Low
.js_aq,Low
.jtp,Very High
.jtv,Low
.jtx,Very High
.juicerpatch,Low
.jurassicrealmsavedgame,Low
.jv,Low
.jvdb,Low
.jvsk,Low
.jvt,Low
.jwl,Low
.jws,Low
.jxl,Low
.jxr,Very High
.k25,Medium
.k2edoc,Low
.k3g,Very High
.k7e,Low
.kar,Very High
.kava,Low
.kb,Low
.kbcf,Low
.kbcim,Low
.kbcls,Low
.kbd,Low
.kbed,Low
.kbgi,Low
.kbl,Low
.kbr8,Low
.kbrf,Low
.kbtf,Low
.kburl,Low
.kbwc,Low
.kc0,Low
.kc1,Low
.kcc,Low
.kces,Low
.kcey,Low
.kci,Low
.kdb,Low
.kdbx,High
.kdc,Very High
.kde,Low
.kdmp,Low
.kep,Low
.keturacomparison,Low
.key,Very High
.key-backupbyhdinspectorportable,Low
.key-tef,Low
.keyboardmacro,Low
.keychain,Low
.keyhelp,Low
.keylist,Low
.kf,Low
.kfa,Low
.kfm,Low
.kfn,Low
.kfx,Low
.kgb,Very High
.kge,Very High
.khe,Low
.khub,Low
.kin,Low
.kipx,Medium
.kix,Low
.kiz,Low
.kkf,Low
.klc,Low
.klnx,High
.kma,Low
.kml,Very High
.kmm,Low
.kmmp,Low
.kmp,Low
.kmv,Low
.kmy,Low
.kmz,Very High
.kne,Low
.kni,Low
.knm,Low
.kno,Low
.knt,Low
.koa,Medium
.kok,Low
.komodoproject,Low
.komodotool,Low
.kon,Low
.kor,Low
.koz,Low
.ko_,Low
.kpf,Low
.kpg,Low
.kpl,Very High
.kproj,Low
.kps,Low
.kpz,Low
.kqp,Low
.kra,Low
.krabbyquestsavedgame,Low
.kraw,Low
.kro,Low
.ksc,Low
.ksf,Very High
.ksign,Low
.kspmm,Low
.kss,Low
.kst,Low
.kt,Low
.ktf,Low
.kth,Low
.ktx,Low
.kx,Low
.kxa,Low
.kxf,Low
.kxl,Low
.kxp,Low
.kxs,Low
.kxsfc,Low
.kys,Very High
.l,Low
.l01,Medium
.l16,Low
.l9,Low
.la,Low
.la1,Low
.lab,Low
.label,Very High
.laccdb,Very High
.laf,Low
.lan,Low
.lang,Low
.lao,Low
.lap,Low
.lar,Low
.las,High
.last,Low
.launchd,Low
.lavs,Low
.lax,Low
.lay,Low
.layerdiagram,Medium
.layout,Very High
.lbd,Low
.lbi,Very High
.lbl,Low
.lbm,Very High
.lbp,Low
.lbr,Low
.lbt,Low
.lbw,Low
.lbx,Medium
.lc,Low
.lcap,Low
.lcd,Medium
.lce,Low
.lcf,Low
.lck,Low
.lcm,Low
.lcp,Low
.lcpp,Low
.lcs,Low
.ld2,Low
.ldb,Very High
.ldbk,Low
.ldd,Low
.ldf,Very High
.ldi,Low
.ldif,Low
.ldl,Low
.ldml,Low
.ldp,Low
.ldr,Low
.lds,Low
.ldt,Low
.leases,Low
.leechget,Low
.leg,Low
.leo,Low
.lep,Low
.ler,Low
.less,High
.let,Low
.letter,Low
.lex,Very High
.lexe,Low
.le_,Low
.lff,Low
.lfm,Low
.lfnt,Low
.lft,Low
.lg4,Low
.lgc,Low
.lgf,Low
.lgl,Low
.lgn,Low
.lgp,Low
.lgr,Low
.lgs,Low
.lgv,Low
.lha,Very High
.li5,Low
.lib,Very High
.library-ms,Very High
.libzip,Medium
.lic,Very High
.license,Low
.lickeys,Low
.lif,Low
.lighthouse-pledge,Low
.lighthouse-project,Low
.lin,High
.linkage2,Low
.linq,Low
.liongthelostamuletssavedgame,Low
.lisp,Low
.list,Low
.listenurl,Low
.lit,Very High
.litcoffee,Low
.livereg,Low
.livesubscribe,Low
.liveupdate,High
.ljp,Medium
.lkg,Low
.lli,Medium
.lmd,Low
.lmf,Low
.lmf-ms,Low
.lmk,Low
.lml,Medium
.lmp4,Very High
.lmsff,Low
.lng,High
.lnk,Very High
.lnk2,Low
.lnk_aq,Low
.lnr,Low
.lnst,Very High
.lnx,Low
.loa,Low
.loaded,Low
.loadtest,High
.lob,Low
.loc,Low
.locale,Low
.localstorage,Low
.lock,Low
.lof,Low
.log,Very High
.log1,Low
.log2,Low
.log4net,Low
.log5,Low
.logbook3,Low
.logg,Low
.logonvista,Low
.logonxp,Low
.look,Low
.looklibrary,Low
.lor,Low
.lot,Low
.love,Low
.loxone,Low
.loxplan,Low
.lp,Low
.lp3,Low
.lpaq1,Low
.lpaq5,Low
.lpaq8,Low
.lpcm,Low
.lpf,Low
.lpi,Low
.lpk,Low
.lpp,Medium
.lpr,Low
.lproj,Low
.lps,Low
.lpu,Low
.lqt,Low
.lqu,Low
.lrc,Low
.lrcat,Medium
.lrcx,Low
.lrdb,Low
.lrf,Low
.lrmodule,Low
.lrs,Low
.lrtemplate,Low
.lrtoolkit,Low
.lrv,Low
.lrweb,Low
.lrx,Low
.ls3proj,Low
.lsaprototype,Low
.lsf,Low
.lsi,Low
.lsl,Low
.lsn,Low
.lsp,High
.lsproj,Low
.lsq,Low
.lst,Very High
.lsx,Low
.lsxproj,Medium
.lsxtproj,Medium
.lsz,Low
.lt2,Low
.ltf,Low
.ltm,Low
.ltw,Low
.ltx,Medium
.ltz,Low
.lua,High
.luac,Low
.luacodec,Low
.luacomp,Low
.luar,Low
.lug,Low
.lum,Low
.lut,Low
.luxor2savedgame,Low
.luxor3savedgame,Low
.luxoramunrisingsavedgame,Low
.luxorquestsavedgame,Low
.luxorsavedgame,Low
.lv,Low
.lva,Low
.lvf,Medium
.lvlad,Low
.lvp,Low
.lvr,Medium
.lvrbt,Low
.lvw,Low
.lwav,Low
.lwc,Low
.lwf,High
.lwo,Low
.lwp,Low
.lws,Low
.lwv,Very High
.lx3,Low
.lxaddon,Low
.lxf,Low
.lxfml,Low
.lxmon,Low
.lxplan,Low
.lxtrust,Low
.lx_,Low
.lyr,Low
.lyx,Low
.lz,Very High
.lz4,Low
.lzh,Very High
.lzma,Very High
.lzma86,Low
.lzo,Very High
.lzp,Low
.lzs,Low
.lzt,Low
.lzx,Low
.m,High
.m10,Low
.m11,Low
.m12,Low
.m14,Low
.m15,Medium
.m1a,Very High
.m1p,Low
.m1s,Medium
.m1v,Very High
.m2a,Very High
.m2e,Low
.m2f,Low
.m2l,Low
.m2p,Very High
.m2ps,Low
.m2s,Medium
.m2t,Very High
.m2ts,Very High
.m2u,Low
.m2v,Very High
.m3d,Low
.m3g,Low
.m3u,Very High
.m3u8,Very High
.m3url,Low
.m3x,Low
.m4,Low
.m4a,Very High
.m4b,Very High
.m4e,High
.m4p,Very High
.m4r,Very High
.m4s,Low
.m4v,Very High
.m75,Low
.ma,Low
.mab,Low
.mac,Very High
.macbin,Low
.mad,Very High
.maf,Very High
.maff,High
.mag,Very High
.magic,Low
.magicacademysavedgame,Low
.magicmatchadventuressavedgame,Low
.magnet,Medium
.mahjongmedleysavedgame,Low
.mahjongtitanssave-ms,Very High
.mailablistview,Low
.mailabview,Low
.mailhost,Low
.mailview,Low
.mak,Very High
.makefile,Low
.mal,Low
.mam,Very High
.mamc,Low
.mamcprofile,Low
.man,Low
.manifest,Medium
.map,Very High
.mapg,Low
.mapimail,Very High
.mapisend,Low
.maple,Low
.maplet,Low
.maq,Very High
.mar,Very High
.marc,Low
.markdown,Low
.mart,Low
.mas,Very High
.mask,Medium
.mass,Low
.masseffectsave,Low
.master,Very High
.mat,Very High
.matdb,Low
.math,Low
.matp,Low
.matroska,Low
.mats,Low
.matte,Medium
.matu,Low
.matx,Low
.mau,Very High
.mav,Very High
.maw,Very High
.max,Medium
.maxc,Low
.mayhem,Low
.ma_,Low
.mb,Low
.mba,Low
.mbam,Medium
.mbc,Low
.mbd,Low
.mbdb,Low
.mbf,Medium
.mbg,Low
.mbi,Low
.mbk,Low
.mbl,Low
.mbm,Low
.mbox,Low
.mbp,Medium
.mbpkg,Low
.mbr,High
.mbsa,Medium
.mbt,Low
.mbw,Low
.mbx,Low
.mb_,Low
.mc,Low
.mc19mime,Low
.mc6,Low
.mc8,Low
.mc9,Low
.mca,Low
.mcc,Low
.mcd,Medium
.mce,Low
.mcep,Low
.mcf,Medium
.mcg,Low
.mch,Low
.mci,Low
.mcl,Very High
.mclt,Low
.mcm,Low
.mcmeta,Low
.mcml,Low
.mcp,Medium
.mcpp,Low
.mcr,High
.mcs,Low
.mct,Low
.mcv,Low
.mcw,Low
.mcx,Low
.mcz,Low
.md,High
.md1,Low
.md2,Low
.md2p,Low
.md2s,Low
.md4,Low
.md5,Very High
.md5sum,Low
.mda,Very High
.mda_aq,Low
.mdb,Very High
.mdbhtml,Very High
.mdb_aq,Low
.mdc,Low
.mdccache,Low
.mdd,Low
.mde,Very High
.mdeck,Low
.mdeckt,Low
.mdef,Low
.mde_aq,Low
.mdf,Very High
.mdi,Very High
.mdl,High
.mdlp,Low
.mdm,Low
.mdmp,Very High
.mdn,Very High
.mdoc,Low
.mdown,Low
.mdp,Very High
.mdr,Low
.mds,Very High
.mds;*.mdf,Low
.mdsp,Low
.mdt,Very High
.mdtext,Low
.mdtxt,Low
.mdus,Low
.mdw,Very High
.mdwn,Low
.mdx,Very High
.mdz,Very High
.mdz_aq,Low
.md_,Low
.me,Low
.mea,Low
.mechdat,Low
.med,High
.mediaget2,Low
.medialib,Low
.medialib-bak,Low
.mef,Very High
.megamanager,Low
.meh,Low
.mel,Low
.mem,Medium
.menc,Medium
.menu,Low
.menuskin,Low
.meo,Very High
.mep,Low
.mer,Low
.mergeoptions7,Low
.meshdat,Low
.met,Medium
.metalink,Medium
.mexw64,Low
.mf,Low
.mfa,Low
.mfalist,Low
.mfcribbon-ms,Very High
.mfd,Low
.mfe,Medium
.mff,Low
.mfg,Low
.mfl,Low
.mfm,Low
.mfp,Very High
.mft,Low
.mfw,High
.mf_,Low
.mg1,Low
.mg2,Low
.mg3,Low
.mg4,Low
.mg8,Low
.mgb,Low
.mgc,Very High
.mgd,Low
.mgf,Low
.mgjson,Low
.mgp,Low
.mgt,Low
.mgz,Low
.mht,Very High
.mhtenx,Low
.mhtm,Low
.mhtml,Very High
.mhtmlenx,Low
.mi,Low
.mi4,Low
.mia,Low
.miaf,Low
.mib,Low
.mic,Low
.microkey25_data,Low
.microkey_data,Low
.mid,Very High
.midi,Very High
.midicodec,Low
.mie,Low
.mif,Medium
.miff,High
.mig,Very High
.migtable,Low
.mihb,Low
.mil,Low
.milk,Low
.mim,Very High
.mime,Low
.minesweepersave-ms,Very High
.mini,Low
.mini2sf,Low
.minibank,Low
.minidsf,Low
.minigsf,Low
.minipsf,Low
.minipsf2,Low
.minissf,Low
.miniusf,Low
.mio,Low
.mip,Low
.miro,Low
.mis,Low
.mit,Low
.mix,Medium
.miz,Very High
.mi_,Low
.mj2,Low
.mjd,Very High
.mjp,Low
.mjp2,Low
.mjpeg,Low
.mjpg,Low
.mjr,Low
.mjs,Low
.mk,Very High
.mk3d,Very High
.mka,Very High
.mkd,Low
.mkdn,Low
.mklk,Low
.mks,Medium
.mkv,Very High
".mkv""",Low
.ml,Low
.mla,Low
.mlapp,Low
.mlappinstall,Low
.mlc,Very High
.mld,Low
.mldatx,Low
.mle,Low
.mlg,Low
.mli,High
.mllicense,Low
.mln,High
.mlp,Very High
.mlpkginstall,Low
.mlpl,Low
.mls,Low
.mlsxml,Low
.mlt,Low
.mltbx,Low
.mlua,Low
.mlx,Low
.mm,Medium
.mmap,Medium
.mmas,Low
.mmat,Low
.mmb,Low
.mmbas,Low
.mmc,Medium
.mmcmp,Low
.mmd0,Low
.mmdc,Low
.mme,Low
.mmf,Low
.mmi,Low
.mmip,Medium
.mmjb,Low
.mmjb_mime,Low
.mmjproject,Low
.mml,Very High
.mmlic,Low
.mmm,Very High
.mmmp,Low
.mmms,Low
.mmo,Low
.mmp,Very High
.mmpz,Low
.mms,Medium
.mmv,High
.mmw,Very High
.mmz,Low
.mm_,Low
.mn,Low
.mn1,Low
.mn2,Low
.mn3,Low
.mn4,Low
.mn5,Low
.mn6,Low
.mn7,Low
.mn8,Low
.mn9,Low
.mnc,Low
.mnd,Low
.mng,Very High
.mni,Low
.mnit,Low
.mnk,Low
.mnl,Medium
.mnm,Low
.mno,Very High
.mnr,Medium
.mns,High
.mnt,Low
.mnu,Very High
.mnx,Low
.mny,Low
.mo,Low
.mo3,Very High
.mob,Low
.moba,Low
.mobi,High
.mobileconfig,Low
.mobileprovision,Low
.moc,Low
.mocha,Low
.mod,Very High
.model,Low
.modelproj,Medium
.modinfo,Low
.mods,Low
.module,Medium
.mof,Low
.mogrt,Low
.moh,Very High
.mol,Low
.mom,Low
.mon,Low
.monitor,Low
.monopolysavedgame,Low
.moov,Low
.mop7,Low
.mortimerbecketttimeparadoxsavedgame,Low
.mos,Very High
.mou,Low
.mount,Low
.mov,Very High
".mov,",Low
.movie,Low
.mozconfig,Low
.mozeml,Low
.mozlz4,Low
.mo_,Low
.mp,Low
.mp+,Very High
.mp1,Very High
.mp1a,Low
.mp1v,Low
.mp2,Very High
.mp2a,Low
.mp2p,Low
.mp2ps,Low
.mp2s,Low
.mp2t,Low
.mp2ts,Low
.mp2v,Very High
.mp3,Very High
".mp3""",Low
.mp3a,Low
.mp3pro,Low
.mp4,Very High
".mp4""",Low
.mp4a,Low
.mp4b,Low
.mp4bank,Low
.mp4p,Low
.mp4r,Low
.mp4v,Very High
.mp5,Low
.mp7,Low
.mpa,Very High
.mpa2,Low
.mpa4,Low
.mpb,Low
.mpc,Very High
.mpc8,Low
.mpcatalog,Low
.mpcd,Low
.mpcpl,Very High
.mpd,High
.mpdp,Very High
.mpdsp,Low
.mpe,Very High
.mpeg,Very High
.mpeg-1,Low
.mpeg-2,Low
.mpeg-4,Low
.mpeg1,Very High
.mpeg1video,Low
.mpeg2,Very High
.mpeg2ts,Low
.mpeg2video,Low
.mpeg3,Low
.mpeg4,Very High
.mpega,Low
.mpegps,Low
.mpegts,Low
.mpegtsraw,Low
.mpegv,Low
.mpegvideo,Low
.mpf,Very High
.mpg,Very High
.mpg1,Low
.mpg2,Low
.mpg3,Low
.mpg4,Low
.mpg4a,Low
.mpga,Very High
.mpgv,Medium
.mpgx,Medium
.mph,Low
.mpi,Low
.mpj,Low
.mpk,Low
.mpl,Very High
.mplog,Medium
.mpls,Very High
.mpm,High
.mpn,Low
.mpo,Very High
.mpp,Very High
.mpp2,Low
.mpq,Low
.mpr,Medium
.mps,High
.mpsub,Low
.mpt,High
.mptm,Low
.mptmz,Low
.mpts,Low
.mpud,Low
.mpv,Very High
.mpv1,Low
.mpv2,Very High
.mpv4,Very High
.mpvd,Low
.mpvm,Low
.mpvuhpcp,Low
.mpw,High
.mpx,Very High
.mq4,Low
.mq5,Low
.mqh,Low
.mqv,Very High
.mrbak,Medium
.mrc,Low
.mres,Low
.mrex,Medium
.mrf,Low
.mrg,Low
.mrimg,Medium
.mrk,Low
.mrp,Low
.mrq,Low
.mrsql,Medium
.mrw,Very High
.ms,Low
.ms-dvr,Low
.ms-one-stub,High
.ms-windows-store-license,Very High
.ms3d,Low
.ms7,Low
.msa,Low
.msbcm,Low
.msc,Very High
.mscc,Low
.mscr,Low
.msc_aq,Low
.msd,Low
.msdax,Low
.msdm,High
.msdvd,Very High
.mse,Medium
.mse-installer,Low
.mse-set,Low
.mse-symbol,Low
.msf,Low
.msg,Very High
.msh,Low
.mshc,Low
.msi,Very High
.msixupload,Low
.msi_aq,Low
.msj,Low
.msk,Low
.msl,High
.mslz,Low
.msm,Medium
.msmessagestore,Low
.msn4,Low
.msolaprole.1,Low
.msp,Very High
.mspl,Low
.msp_aq,Low
.msrcincident,Very High
.mss,Low
.msstyles,Very High
.mst,Medium
.msu,Very High
.msv,High
.msvp,Low
.msw,Low
.mswmm,Very High
.msz,Low
.ms_,Low
.mt2,Low
.mt2s,Low
.mt5,Low
.mta,Low
.mtb,Low
.mtbk,Low
.mtbkwz,Low
.mtdt,Low
.mtf,Low
.mth,Low
.mtjt,Low
.mtl,High
.mtm,Very High
.mtpt,Low
.mtqp,Low
.mts,Very High
.mts1,Low
.mts2,Low
.mts3,Low
.mtst,Low
.mtv,Very High
.mtww,Low
.mtx,High
.mtxcfg,Low
.mu,Low
.mub,Low
.mucow,Low
.mud,Low
.mui,Low
.mul,Low
.mulib,Low
.mun,Low
.muphlp,Low
.murl,Low
.mus,Low
.musc,Low
.muse,Low
.musx,Low
.mu_,Low
.mv,Low
.mv1,Low
.mv2,Low
.mvc,Low
.mvd,Medium
.mvex,Low
.mvg,Medium
.mvi,Low
.mvp,Low
.mvpl,Low
.mvv,Low
.mvx,Low
.mvy,Low
.mw,Low
.mwand,Low
.mwb,Low
.mwb7,Low
.mwd,Low
.mwdeck,Low
.mwf,Low
.mwk,Low
.mws,Low
.mwv,Low
.mwz,Low
.mx,Low
.mx1,Low
.mx2,Low
.mxaddon,Low
.mxcc,Low
.mxd,Low
.mxdic,Low
.mxf,Very High
.mxg,Low
.mxi,Very High
.mxl,Low
.mxm,Low
.mxp,Very High
.mxpl,Low
.mxs,Low
.mxskin,Low
.mxt,Low
.mxv,Low
.mxx,Low
.mycolors,Low
.myd,Medium
.mydocs,Very High
.myh,Low
.mylic,Low
.mysql,Low
.mysterycookbooksavedgame,Low
.mysterypinewyorkfortunesavedgame,Low
.mysterypithelondoncapersavedgame,Low
.mysterypivegassavedgame,Low
.mz5,Low
.mzp,Low
.n-gage,High
.n1_,Low
.n2p,Low
.n64,Low
.n80,Low
.nab,High
.nabs,Low
.naf,Low
.nameonclipboard,Low
.nanflmrkxtns,Low
.nanokey2_data,Low
.nanokey_data,Low
.nanopad2_data,Low
.nanopad2_glob,Low
.nanopad2_set,Low
.nanopad_data,Low
.nanopad_glob,Low
.nanopad_set,Low
.nars,Low
.natvis,Medium
.nb,Low
.nba,High
.nbak,Low
.nbi,Very High
.nbib,Low
.nbk,Low
.nbp,Low
.nbs,Medium
.nbt,High
.nbtitle,Low
.nbu,Medium
.nbv,Medium
.nc,Low
.ncak1,Low
.ncb,Very High
.ncc,Low
.ncd,Very High
.ncf,Low
.ncfg,Low
.ncg,Low
.nck,Low
.nckd2,Low
.nckf1,Low
.nckk,Low
.ncks2,Low
.ncks2m2,Low
.ncks4,Low
.ncks4m2,Low
.ncks5,Low
.ncks8,Low
.nckx1,Low
.nckx1m2,Low
.nckz1,Low
.nckz2,Low
.ncm,Low
.ncm2,Low
.ncmj,Low
.ncmm,Low
.ncmm2,Low
.ncmst,Low
.nco,Very High
.ncor,Medium
.ncp,Medium
.ncr,Low
.ncs,Very High
.nct,Very High
.ncw,High
.ncx,Low
.nc_,High
.nd,Low
.nda,High
.ndf,Very High
.ndi,Low
.ndif,Low
.ndl,Low
.ndp,Low
.ndpa,Low
.ndpi,Low
.ndpis,Low
.ndpr,Low
.ndprj,Low
.ndpvs,Low
.nds,Medium
.ndx,Low
.nef,Very High
.neo,Low
.neqcurve,Low
.neroserial,Low
.neroserial11,Low
.neroserial12,Low
.nero_scout_video,High
.nero_search_email_result,High
.nes,Low
.nessus,Low
.net,Low
.net%2525252fh%2525252fmsglistads%252526r%25253d0%252cc566a026,Low
.netproject,Low
.networkconnect,Low
.nex,Medium
.nf2,Low
.nfb,Low
.nfc,Medium
.nfd_audio,Very High
.nfd_data,Very High
.nfl,High
.nfm8,Low
.nfo,Very High
.nfslicense,Low
.nft,Low
.ngc,Low
.nge,Low
.ngfx-bvh,Low
.ngfx-cppcap,Low
.ngfx-gputrace,Low
.ngfx-proj,Low
.ngfx-shaderprof,Low
.ngg,High
.ngp,Low
.nhb,Medium
.nhcode,Low
.nhd,Medium
.nhf,Very High
.nhv,Very High
.nib,Low
.nick,Very High
.nif,Low
.nifcache,Low
.nil,Low
.nim,Low
.nji,Very High
.njt,High
.nk,Low
.nk2,Very High
.nkb,Low
.nkfn,Low
.nki,Low
.nkm,Low
.nkp,Low
.nkple,Low
.nks,Low
.nktrl2_data,Low
.nktrl_data,Low
.nktrl_set,Low
.nlang,Low
.nlang2,Low
.nlang3,Low
.nld,Medium
.nlm,High
.nlp,Low
.nlq,Low
.nl_,Low
.nmap,Low
.nmbsplb,Low
.nmbtemplate,Low
.nmc,Low
.nmd,Very High
.nmf,Low
.nmh-stream,Low
.nml,Low
.nmsv,Low
.nmw,Very High
.nmx,Low
.nna,Low
.noa,Low
.nob,Low
.nod,Low
.nol,Very High
.nopb,Low
.nopd,Low
.nope,Low
.nopem,Low
.nopeq,Low
.nopev,Low
.nopi,Low
.nopj,Low
.nops,Low
.nopt,Low
.nor,Low
.nortonpccheckupupdater,Low
.noscriptsinhere,Low
.not,Low
.notebook,Low
.noun,Low
.now,Low
.nozskin,Low
.nozzlelibrary,Low
.npbk,Low
.npc,Low
.npe,Low
.npf,Low
.npk,Low
.npl,Low
.npp,Low
.npr,Low
.npsf,Low
.nqp,Low
.nr3,Very High
.nr4,Very High
.nra,Very High
.nrb,Very High
.nrbak,Low
.nrc,Very High
.nrd,Very High
.nre,Very High
.nrf,Low
.nrg,Very High
.nrh,Very High
.nri,Very High
.nrj,Very High
